| 序号 | id | 姓名 | wu | tong | zheng |
| ---: | --: | :--- | --: | --: | --: |
| 1 | 1 | 凌操 | 53 | 33 | 7 |
| 2 | 2 | 周泰 | 60 | 53 | 13 |
| 3 | 3 | 周瑜 | 47 | 87 | 60 |
| 4 | 4 | 孙权 | 40 | 47 | 73 |
| 5 | 5 | 孙策 | 80 | 67 | 40 |
| 6 | 6 | 孙韶 | 53 | 47 | 27 |
| 7 | 7 | 张昭 | 7 | 7 | 87 |
| 8 | 8 | 张纮 | 7 | 7 | 80 |
| 9 | 9 | 程普 | 53 | 60 | 53 |
| 10 | 10 | 蒋钦 | 40 | 33 | 20 |
| 11 | 11 | 陈武 | 47 | 33 | 7 |
| 12 | 12 | 黄盖 | 60 | 53 | 47 |
| 13 | 13 | 关羽 | 93 | 73 | 53 |
| 14 | 14 | 刘备 | 60 | 40 | 27 |
| 15 | 15 | 孙乾 | 7 | 7 | 87 |
| 16 | 16 | 张飞 | 100 | 53 | 7 |
| 17 | 17 | 严颜 | 60 | 47 | 20 |
| 18 | 18 | 冷苞 | 33 | 33 | 7 |
| 19 | 19 | 刘璋 | 20 | 27 | 27 |
| 20 | 20 | 吴兰 | 47 | 33 | 7 |
| 21 | 21 | 孟达 | 47 | 40 | 13 |
| 22 | 22 | 张任 | 73 | 53 | 7 |
| 23 | 23 | 张松 | 7 | 20 | 73 |
| 24 | 24 | 李恢 | 20 | 60 | 80 |
| 25 | 25 | 法正 | 33 | 80 | 47 |
| 26 | 26 | 雷铜 | 47 | 33 | 7 |
| 27 | 27 | 阎圃 | 27 | 40 | 80 |
| 28 | 28 | 张卫 | 47 | 80 | 13 |
| 29 | 29 | 张鲁 | 33 | 60 | 60 |
| 30 | 30 | 杨昂 | 40 | 47 | 13 |
| 31 | 31 | 刘琦 | 33 | 40 | 60 |
| 32 | 32 | 刘磐 | 33 | 40 | 33 |
| 33 | 33 | 刘表 | 20 | 40 | 67 |
| 34 | 34 | 文聘 | 60 | 20 | 7 |
| 35 | 35 | 甘宁 | 80 | 40 | 7 |
| 36 | 36 | 蔡瑁 | 40 | 40 | 27 |
| 37 | 37 | 魏延 | 67 | 67 | 33 |
| 38 | 38 | 黄祖 | 40 | 13 | 27 |
